Date: 2016-06-01, Location: Inne, Average Humidity: 37,2%
Date: 2016-06-01, Location: Ute, Average Humidity: 44,2%
Date: 2016-06-02, Location: Inne, Average Humidity: 38,8%
Date: 2016-06-02, Location: Ute, Average Humidity: 36,8%
Date: 2016-06-03, Location: Inne, Average Humidity: 37,7%
Date: 2016-06-03, Location: Ute, Average Humidity: 36,7%
Date: 2016-06-04, Location: Inne, Average Humidity: 29,2%
Date: 2016-06-04, Location: Ute, Average Humidity: 27,8%
Date: 2016-06-05, Location: Inne, Average Humidity: 23,3%
Date: 2016-06-05, Location: Ute, Average Humidity: 31,1%
Date: 2016-06-06, Location: Ute, Average Humidity: 24,8%
Date: 2016-06-06, Location: Inne, Average Humidity: 19,8%
Date: 2016-06-07, Location: Inne, Average Humidity: 23,1%
Date: 2016-06-07, Location: Ute, Average Humidity: 32,7%
Date: 2016-06-08, Location: Inne, Average Humidity: 23,0%
Date: 2016-06-08, Location: Ute, Average Humidity: 31,0%
Date: 2016-06-09, Location: Inne, Average Humidity: 15,7%
Date: 2016-06-09, Location: Ute, Average Humidity: 30,3%
Date: 2016-06-10, Location: Inne, Average Humidity: 20,0%
Date: 2016-06-10, Location: Ute, Average Humidity: 56,2%
Date: 2016-06-11, Location: Inne, Average Humidity: 19,7%
Date: 2016-06-11, Location: Ute, Average Humidity: 54,2%
Date: 2016-06-12, Location: Inne, Average Humidity: 21,8%
Date: 2016-06-12, Location: Ute, Average Humidity: 44,1%
Date: 2016-06-13, Location: Ute, Average Humidity: 46,4%
Date: 2016-06-13, Location: Inne, Average Humidity: 22,8%
Date: 2016-06-16, Location: Inne, Average Humidity: 39,7%
Date: 2016-06-16, Location: Ute, Average Humidity: 60,3%
Date: 2016-06-17, Location: Inne, Average Humidity: 40,3%
Date: 2016-06-17, Location: Ute, Average Humidity: 76,8%
Date: 2016-06-18, Location: Inne, Average Humidity: 36,6%
Date: 2016-06-18, Location: Ute, Average Humidity: 93,1%
Date: 2016-06-19, Location: Inne, Average Humidity: 36,0%
Date: 2016-06-19, Location: Ute, Average Humidity: 87,4%
Date: 2016-06-20, Location: Inne, Average Humidity: 35,0%
Date: 2016-06-20, Location: Ute, Average Humidity: 69,5%
Date: 2016-07-28, Location: Ute, Average Humidity: 66,4%
Date: 2016-07-28, Location: Inne, Average Humidity: 47,5%
Date: 2016-07-29, Location: Ute, Average Humidity: 53,4%
Date: 2016-07-29, Location: Inne, Average Humidity: 44,1%
Date: 2016-07-30, Location: Ute, Average Humidity: 57,2%
Date: 2016-07-30, Location: Inne, Average Humidity: 42,7%
Date: 2016-07-31, Location: Ute, Average Humidity: 47,5%
Date: 2016-07-31, Location: Inne, Average Humidity: 37,4%
Date: 2016-08-01, Location: Ute, Average Humidity: 45,3%
Date: 2016-08-01, Location: Inne, Average Humidity: 33,5%
Date: 2016-08-02, Location: Ute, Average Humidity: 56,5%
Date: 2016-08-02, Location: Inne, Average Humidity: 34,9%
Date: 2016-09-05, Location: Ute, Average Humidity: 58,8%
Date: 2016-09-05, Location: Inne, Average Humidity: 40,6%
Date: 2016-09-06, Location: Ute, Average Humidity: 47,0%
Date: 2016-09-06, Location: Inne, Average Humidity: 42,4%
Date: 2016-09-07, Location: Inne, Average Humidity: 44,5%
Date: 2016-09-07, Location: Ute, Average Humidity: 52,9%
Date: 2016-09-08, Location: Inne, Average Humidity: 37,6%
Date: 2016-09-08, Location: Ute, Average Humidity: 55,6%
Date: 2016-09-09, Location: Inne, Average Humidity: 44,7%
Date: 2016-09-09, Location: Ute, Average Humidity: 64,6%
Date: 2016-09-09, Location: ne, Average Humidity: 36,0%
Date: 2016-09-10, Location: Inne, Average Humidity: 45,0%
Date: 2016-09-10, Location: Ute, Average Humidity: 62,0%
Date: 2016-09-11, Location: Inne, Average Humidity: 43,0%
Date: 2016-09-11, Location: Ute, Average Humidity: 60,2%
Date: 2016-09-12, Location: Inne, Average Humidity: 36,2%
Date: 2016-09-12, Location: Ute, Average Humidity: 50,7%
Date: 2016-09-13, Location: Inne, Average Humidity: 40,4%
