Date: 2016-06-01, Location: Inne, Average Temperature: 24,6
Date: 2016-06-01, Location: Ute, Average Temperature: 20,7
Date: 2016-06-02, Location: Inne, Average Temperature: 26,3
Date: 2016-06-02, Location: Ute, Average Temperature: 22,4
Date: 2016-06-03, Location: Inne, Average Temperature: 26,6
Date: 2016-06-03, Location: Ute, Average Temperature: 21,2
Date: 2016-06-04, Location: Inne, Average Temperature: 25,6
Date: 2016-06-04, Location: Ute, Average Temperature: 16,1
Date: 2016-06-05, Location: Inne, Average Temperature: 24,7
Date: 2016-06-05, Location: Ute, Average Temperature: 13,5
Date: 2016-06-06, Location: Ute, Average Temperature: 12,7
Date: 2016-06-06, Location: Inne, Average Temperature: 24,9
Date: 2016-06-07, Location: Inne, Average Temperature: 24,9
Date: 2016-06-07, Location: Ute, Average Temperature: 23,1
Date: 2016-06-08, Location: Inne, Average Temperature: 24,9
Date: 2016-06-08, Location: Ute, Average Temperature: 14,9
Date: 2016-06-09, Location: Inne, Average Temperature: 24,4
Date: 2016-06-09, Location: Ute, Average Temperature: 12,8
Date: 2016-06-10, Location: Inne, Average Temperature: 24,5
Date: 2016-06-10, Location: Ute, Average Temperature: 9,5
Date: 2016-06-11, Location: Inne, Average Temperature: 24,2
Date: 2016-06-11, Location: Ute, Average Temperature: 11,3
Date: 2016-06-12, Location: Inne, Average Temperature: 23,3
Date: 2016-06-12, Location: Ute, Average Temperature: 13,4
Date: 2016-06-13, Location: Ute, Average Temperature: 14,5
Date: 2016-06-13, Location: Inne, Average Temperature: 23,7
Date: 2016-06-16, Location: Inne, Average Temperature: 23,4
Date: 2016-06-16, Location: Ute, Average Temperature: 17,6
Date: 2016-06-17, Location: Inne, Average Temperature: 24,2
Date: 2016-06-17, Location: Ute, Average Temperature: 16,7
Date: 2016-06-18, Location: Inne, Average Temperature: 24,4
Date: 2016-06-18, Location: Ute, Average Temperature: 13,5
Date: 2016-06-19, Location: Inne, Average Temperature: 24,2
Date: 2016-06-19, Location: Ute, Average Temperature: 15,9
Date: 2016-06-20, Location: Inne, Average Temperature: 24,2
Date: 2016-06-20, Location: Ute, Average Temperature: 15,1
Date: 2016-07-28, Location: Ute, Average Temperature: 19,5
Date: 2016-07-28, Location: Inne, Average Temperature: 25,7
Date: 2016-07-29, Location: Ute, Average Temperature: 20,8
Date: 2016-07-29, Location: Inne, Average Temperature: 25,8
Date: 2016-07-30, Location: Ute, Average Temperature: 20,8
Date: 2016-07-30, Location: Inne, Average Temperature: 26,6
Date: 2016-07-31, Location: Ute, Average Temperature: 19,2
Date: 2016-07-31, Location: Inne, Average Temperature: 26,5
Date: 2016-08-01, Location: Ute, Average Temperature: 19,0
Date: 2016-08-01, Location: Inne, Average Temperature: 25,3
Date: 2016-08-02, Location: Ute, Average Temperature: 15,9
Date: 2016-08-02, Location: Inne, Average Temperature: 25,6
Date: 2016-09-05, Location: Ute, Average Temperature: 16,1
Date: 2016-09-05, Location: Inne, Average Temperature: 22,4
Date: 2016-09-06, Location: Ute, Average Temperature: 19,0
Date: 2016-09-06, Location: Inne, Average Temperature: 23,2
Date: 2016-09-07, Location: Inne, Average Temperature: 24,1
Date: 2016-09-07, Location: Ute, Average Temperature: 21,6
Date: 2016-09-08, Location: Inne, Average Temperature: 23,9
Date: 2016-09-08, Location: Ute, Average Temperature: 15,6
Date: 2016-09-09, Location: Inne, Average Temperature: 23,5
Date: 2016-09-09, Location: Ute, Average Temperature: 18,6
Date: 2016-09-09, Location: ne, Average Temperature: 23,6
Date: 2016-09-10, Location: Inne, Average Temperature: 25,0
Date: 2016-09-10, Location: Ute, Average Temperature: 19,1
Date: 2016-09-11, Location: Inne, Average Temperature: 25,1
Date: 2016-09-11, Location: Ute, Average Temperature: 18,2
Date: 2016-09-12, Location: Inne, Average Temperature: 23,7
Date: 2016-09-12, Location: Ute, Average Temperature: 17,0
Date: 2016-09-13, Location: Inne, Average Temperature: 24,3
Date: 2016-09-13, Location: Ute, Average Temperature: 17,9
Date: 2016-09-14, Location: Inne, Average Temperature: 24,1
Date: 2016-09-14, Location: Ute, Average Temperature: 18,7
Date: 2016-09-15, Location: Inne, Average Temperature: 24,3
